Categoría,Subcategoria,APLICA EN LAS METAS ACTUALES,Fecha,Manifiesto,Nombre de Residuo,Peso Disposición Final (kg) ,Canal o Mecanismo de recolección,Tipo de Gestión (proceso),certificado ,Gestor ,Centro de acopio,Razón social del generador,Nit,Responsable del envío,Correo ,Dirección,Departamento,Ciudad,Latitud,Longitud,utm_x,utm_y,utm_zona
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-01-03,11000,MONITORES,88.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ACUAVARES CLÍNICA VETERINARIA,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,KR 92 147C 02,"BOGOTA, D. C.","BOGOTA, D. C.",4.743257,-74.084513,601528.51,524351.5,18N
1. Aparatos electrodomésticos,1.7 Enseres menores personales,SI,2024-03-11,10146,"APARATOS PARA CORTAR EL PELO, PARA SECAR EL PELO, PARA CEPILLARSE LOS DIENTES, MAQUINAS PARA AFEITAR, APARATOS DE MASAJE Y OTROS CUIDADOS CORPORALES",377.75,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,ADMICENTROS S.A.S,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,AK 72 12D 60,"BOGOTA, D. C.","BOGOTA, D. C.",4.648027,-74.127501,596773.85,513817.65,18N
2. Electrónica y Equipos de Telecomunicación,2.5 Electrónica de consumo,SI,2024-02-27,10614,AMPLIFICADOR DE SONIDO,3.2,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ADMINISTRACION PRIME TOWER SAS,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,CL 100 19 05,"BOGOTA, D. C.","BOGOTA, D. C.",4.685686,-74.052378,605101.29,517991.67,18N
3. Maquinaria y Equipo Eléctrico,3.9 Otros aparatos y sistemas,SI,2024-11-29,11935,MAQUINA EXPENDEDORA AUTOMATICAS DE DINERO,670.0,Centro de Acopio,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,Adriana Castro González,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 148 7B 65,"BOGOTA, D. C.","BOGOTA, D. C.",4.724383862,-74.028160704,607781.54,522273.53,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-02-16,9074,TELEVISORES,152.0,Centro de Acopio,Aprovechamiento,REP - 29 - 9315,Eco Industria SAS,Parque Industrial San Jorge,Adriana Patricia Moreno Prieto,800087297-6,LUZ STELLA CELIS,co.recepcionfacturase@la.spectrumbrands.com,KR 82A 6B 74,"BOGOTA, D. C.","BOGOTA, D. C.",4.640442009,-74.152630503,593987.39,512975.75,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-03-08,10532,SERVIDORES,32.0,Gestionado por Reconecta,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,Adrian tapias ,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 79B 35B 38 Sur,"BOGOTA, D. C.","BOGOTA, D. C.",4.627585678,-74.154831402,593744.95,511554.2,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-01-29,9218,TONNER,1.0,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,AEI ARQUITECTURA E INTERIORES,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 14 98 51 Piso 2,"BOGOTA, D. C.","BOGOTA, D. C.",4.683174,-74.047745,605615.56,517714.66,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-01-05,10729,CPU,17.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,AEROPUERTO EL DORADO,830142201-4,LUZ DARY LEGUIZAMON,test@mts.com.co,CL 22F 103 09,"BOGOTA, D. C.","BOGOTA, D. C.",4.678374,-74.141568,595209.39,517170.6,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-01-18,11173,TABLETAS,2.23,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,AEROVIAS DEL CONTINENTE AMERICANO - AVIANCA,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,AC 26 # 106 - 74,"BOGOTA, D. C.","BOGOTA, D. C.",4.683499,-74.1424,595116.41,517737.05,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-08-23,11662,"HERRAMIENTAS PARA ROCIAR, ESPARCIR, PROPAGAR O APLICAR OTROS TRATAMIENTOS CON SUSTANCIAS LÍQUIDAS O GASEOSAS POR OTROS MEDIOS",988.0,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,AGROCAMPO,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 73 20 01,"BOGOTA, D. C.","BOGOTA, D. C.",4.660846,-74.061807,604059.08,515244.15,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-04-25,10147,OTROS APARATOS DE LIMPIEZA QUE NO SEAN ASPIRADORAS O LIMPIA MOQUETAS,13.86,Centro de Acopio,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,AGRUPACION DE LOTES CONNECTA ECOSISTEMA DE NEGOCIOS PH,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,CL 26 92 32,"BOGOTA, D. C.","BOGOTA, D. C.",4.682633,-74.121418,597443.83,517644.19,18N
2. Electrónica y Equipos de Telecomunicación,2.4 Computadores y equipos para tratamiento de datos,SI,2024-03-22,10957,DISCO DURO,2.8,Gestionado por Reconecta,Aprovechamiento,REP - 30 - 9339,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE BOSA,800149695-1,JENNY PRIETO,gestionambiental@cruzverde.com.co,KR 80I 61 05 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.610498,-74.184766,590426.58,509661.3,18N
1. Aparatos electrodomésticos,1.2 Enseres de audio y video,SI,2024-08-25,9387,VIDEOCAMARAS,32.0,Centro de Acopio,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE FONTIBÓN,900836968-7,LEONARDO BENAVIDES,test@signify.com,CL 18 99 38,"BOGOTA, D. C.","BOGOTA, D. C.",4.67354,-74.144253,594912.22,516635.83,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-12-29,11061,MAQUINAS DE COSER,88.42,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE KENNEDY,860010451-1,DANIELA PEÑA,ambiental@casalimpia.com.co,TV 78K 41A 04 S,"BOGOTA, D. C.","BOGOTA, D. C.",4.619522,-74.157445,593456.09,510662.42,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-12-10,11289,TONNER,1.0,Gestionado por Reconecta,Aprovechamiento,REP-86-9030,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE PUENTE ARANDA,900836968-7,LEONARDO BENAVIDES,test@signify.com,KR 31D 4 43,"BOGOTA, D. C.","BOGOTA, D. C.",4.605985,-74.102905,599508.02,509173.29,18N
1. Aparatos electrodomésticos,1.6 Enseres menores del hogar,SI,2024-01-22,10564,ASPIRADORAS,18.0,Centro de Acopio,Aprovechamiento,REP - 15 - 9316,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE RAFAEL URIBE URIBE,860518583-7,MARIA PAULA,ambiental@ccmetropolis.com.co,CL 32 S 23 62,"BOGOTA, D. C.","BOGOTA, D. C.",4.581235,-74.114967,598173.35,506435.5,18N
2. Electrónica y Equipos de Telecomunicación,"2.10 Periféricos, partes y tarjetas para computadores e impresoras",SI,2024-02-09,11358,"OTROS PRODUCTOS Y APARATOS PARA LA RECOGIDA, ALMACENAMIENTO, PROCESAMIENTO, PRESENTACIÓN O COMUNICACIÓN DE LA INFORMACIÓN DE MANERA ELECTRÓNICA",0.5,Gestionado por Reconecta,Aprovechamiento,REP - 14 - 9308,Eco Industria SAS,Parque Industrial San Jorge,ALCALDÍA LOCAL DE SAN CRISTOBAL,900836968-7,LEONARDO BENAVIDES,test@signify.com,CL 22 S 1 40 E,"BOGOTA, D. C.","BOGOTA, D. C.",4.569551,-74.08661,601320.79,505147.77,18N
